id,name,current_max_exam_2,backup_max_exam_2
1148,Chimie,20.0,40.0
1149,Dessin,20.0,40.0
1150,Education phys & sportive,20.0,40.0
1151,Economie politique,20.0,40.0
1152,Education musc./Théâtrale,20.0,40.0
1153,Géographie,20.0,40.0
1154,Histoire,20.0,40.0
1155,Informatique,20.0,40.0
1156,Langues nationales,20.0,40.0
1157,Microbiologie,20.0,40.0
1158,Physique,20.0,40.0
1159,MAXIMA,20.0,80.0
1160,Didactique des disciplines,20.0,80.0
1161,Didactique générale,20.0,80.0
1162,Mathématiques,20.0,80.0
1163,Pédagogie ,20.0,80.0
1164,Psychologie,20.0,80.0
1165,Psychologie,20.0,80.0
1166,travail manuel / Ecriture,20.0,80.0
1167,MAXIMA,20.0,100.0
1168,Anglais,20.0,100.0
1169,Francais,20.0,100.0
1175,MAXIMA,20.0,40.0
1176,Biologie,20.0,40.0
1177,Education musc./Théâtrale,20.0,40.0
1178,Education phys & sportive,20.0,40.0
1179,Esthétique,20.0,40.0
1180,Géographie,20.0,40.0
1181,Histoire,20.0,40.0
1182,Physique,20.0,40.0
1183,MAXIMA,20.0,80.0
1184,Anglais,20.0,80.0
1185,Langues nationales,20.0,80.0
1186,Mathématiques,20.0,80.0
1187,MAXIMA,20.0,100.0
1188,Francais,20.0,100.0
1189,Dessin,20.0,100.0
1190,Didactique des disciplines,20.0,100.0
1191,Didactique générale,20.0,100.0
1192,Travail manuel / Ecriture,20.0,100.0
1193,MAXIMA,20.0,0.0
1194,Pratique d'Enseignement,20.0,0.0
1200,MAXIMA,20.0,40.0
1201,Biologie,20.0,40.0
1202,Education phys & sportive,20.0,40.0
1203,Géographie,20.0,40.0
1204,Histoire,20.0,40.0
1205,Philosophie,20.0,40.0
1206,Physique,20.0,40.0
1207,MAXIMA,20.0,80.0
1208,Anglais,20.0,80.0
1209,Langues nationales,20.0,80.0
1210,Mathématiques,20.0,80.0
1211,MAXIMA,20.0,100.0
1212,Francais,20.0,100.0
1213,Dessin,20.0,100.0
1214,Didactique des disciplines,20.0,100.0
1215,Didactique générale,20.0,100.0
1216,Ed. musicale/Théâtrale,20.0,100.0
1217,Pédagogie,20.0,100.0
1218,Psychologie,20.0,100.0
1219,Travail manuel / Ecriture,20.0,100.0
1220,MAXIMA,20.0,10.0
1221,Pratique d'Enseignement,20.0,10.0
1430,,20.0,10.0
1431,,20.0,10.0
1432,Algèbre & Analyse ,20.0,60.0
1433,Géométrie/Trigo,20.0,40.0
1436,Sous total,20.0,140.0
1437,,20.0,10.0
1438,Biologie générale,20.0,40.0
1441,Sous total,20.0,80.0
1442,,20.0,10.0
1443,Chimie ,20.0,60.0
1444,Physique,20.0,60.0
1446,Sous total,20.0,140.0
1447,,20.0,10.0
1448,Français ,20.0,100.0
1449,Anglais,20.0,60.0
1450,Sous total,20.0,160.0
1451,,20.0,10.0
1452,Géographie,20.0,40.0
1453,Histoire ,20.0,40.0
1454,Economie politique,20.0,40.0
1458,Sous total,20.0,180.0
1459,,20.0,10.0
1462,,20.0,10.0
1463,,20.0,10.0
1464,Algèbre & Analyse ,20.0,60.0
1465,Géométrie,20.0,40.0
1468,Sous total,20.0,140.0
1469,,20.0,10.0
1470,Biologie générale,20.0,40.0
1473,Sous total,20.0,80.0
1474,,20.0,10.0
1475,Chimie ,20.0,60.0
1476,Physique,20.0,60.0
1478,Sous total,20.0,140.0
1479,,20.0,10.0
1480,Français ,20.0,100.0
1481,Anglais,20.0,60.0
1482,Sous total,20.0,160.0
1483,,20.0,10.0
1484,Géographie,20.0,40.0
1485,Histoire ,20.0,40.0
1486,Economie politique,20.0,40.0
1490,Sous total,20.0,180.0
1491,,20.0,10.0
1494,,20.0,10.0
1495,,20.0,10.0
1496,Algèbre & Analyse ,20.0,60.0
1497,Géométrie,20.0,40.0
1500,Sous total,20.0,140.0
1501,,20.0,10.0
1502,Biologie générale,20.0,40.0
1506,Sous total,20.0,100.0
1507,,20.0,10.0
1508,Chimie ,20.0,60.0
1509,Physique,20.0,60.0
1511,Sous total,20.0,140.0
1512,,20.0,10.0
1513,Français ,20.0,100.0
1514,Anglais,20.0,60.0
1515,Sous total,20.0,160.0
1516,,20.0,10.0
1517,Géographie,20.0,40.0
1518,Histoire ,20.0,40.0
1519,Economie politique,20.0,40.0
1523,Sous total,20.0,180.0
1524,,20.0,10.0
1527,,20.0,10.0
1528,,20.0,10.0
1529,Algèbre & Analyse ,20.0,60.0
1530,Géométrie,20.0,40.0
1533,Sous total,20.0,140.0
1534,,20.0,10.0
1535,Biologie générale,20.0,40.0
1538,Sous total,20.0,80.0
1539,,20.0,10.0
1540,Chimie ,20.0,60.0
1541,Physique,20.0,60.0
1543,Sous total,20.0,140.0
1544,,20.0,10.0
1545,Français ,20.0,100.0
1546,Anglais,20.0,60.0
1547,Sous total,20.0,160.0
1548,,20.0,10.0
1549,Géographie,20.0,40.0
1550,Histoire ,20.0,40.0
1551,Philosophie ,20.0,40.0
1555,Sous total,20.0,180.0
1556,,20.0,10.0
1594,,20.0,10.0
1595,,20.0,10.0
1596,Algèbre,20.0,10.0
1597,Arithmétique,20.0,10.0
1598,Géométrie,20.0,10.0
1599,Statistique,20.0,10.0
1600,Sous total,20.0,10.0
1601,,20.0,10.0
1603,Botanique,20.0,10.0
1604,Zoologie,20.0,10.0
1605,Sous total,20.0,10.0
1606,,20.0,10.0
1607,Sciences Physiques,20.0,10.0
1608,Technologie,20.0,10.0
1609,Techno d'info & Com(TIC),20.0,10.0
1610,Sous total,20.0,10.0
1611,,20.0,10.0
1612,Anglais,20.0,10.0
1613,Français,20.0,10.0
1614,Sous total,20.0,10.0
1615,,20.0,10.0
1616,Religion,20.0,10.0
1617,Éducation à la vie (1),20.0,10.0
1618,Éducation civique et moral,20.0,10.0
1619,Géographie,20.0,10.0
1620,Histoire,20.0,10.0
1621,Sous total,20.0,10.0
1622,,20.0,10.0
1623,Dessin,20.0,10.0
1624,Musique,20.0,10.0
1625,Sous total,20.0,10.0
1626,,20.0,10.0
1627,Éducation Physique,20.0,10.0
1628,Sous total,20.0,10.0
1634,MAXIMA,20.0,40.0
1635,Anglais,20.0,40.0
1636,Chimie,20.0,40.0
1637,Electronique numérique,20.0,40.0
1638,Géographie / Actualités,20.0,40.0
1639,Histoire,20.0,40.0
1640,Informatique,20.0,40.0
1641,Instr. méth. Mesures,20.0,40.0
1642,Mécanisme,20.0,40.0
1643,Physique,20.0,40.0
1644,Techno. mécanique,20.0,40.0
1645,MAXIMA,20.0,80.0
1646,Dessin électrique,20.0,80.0
1647,Dessin industriel,20.0,80.0
1648,Electricité générale,20.0,80.0
1649,Mécanique générale,20.0,80.0
1650,Techno. électr.,20.0,80.0
1651,Electronique,20.0,80.0
1652,MAXIMA,20.0,100.0
1653,Français,20.0,100.0
1654,Mathématiques,20.0,100.0
1655,MAXIMA,20.0,10.0
1656,Atelier électrique,20.0,10.0
1657,Atelier ajustage,20.0,10.0
1663,MAXIMA,20.0,40.0
1664,Anglais,20.0,40.0
1665,Chimie,20.0,40.0
1666,Electronique numérique,20.0,40.0
1667,Géographie / Actualités,20.0,40.0
1668,Histoire (1),20.0,40.0
1669,Informatique,20.0,40.0
1670,Instr. méth. Mesures,20.0,40.0
1671,Mécanisme,20.0,40.0
1672,Physique,20.0,40.0
1673,Techno. mécanique (1),20.0,40.0
1674,MAXIMA,20.0,80.0
1675,Dessin électrique,20.0,80.0
1676,Dessin industriel,20.0,80.0
1677,Electricité générale,20.0,80.0
1678,Mécanique générale (1),20.0,80.0
1679,Techno. électr.,20.0,80.0
1680,MAXIMA,20.0,100.0
1681,Français,20.0,100.0
1682,Mathématiques,20.0,100.0
1683,MAXIMA,20.0,10.0
1684,Atelier électrique,20.0,10.0
1685,Labo. électrique,20.0,10.0
1691,MAXIMA,20.0,40.0
1692,Actualités,20.0,40.0
1693,Anglais,20.0,40.0
1694,Automate progr. (1),20.0,40.0
1695,Electronique + labo.,20.0,40.0
1696,Informatique,20.0,40.0
1697,Instr. méth. Mesures,20.0,40.0
1698,Résistance des matér.,20.0,40.0
1699,MAXIMA,20.0,80.0
1700,Dessin électrique,20.0,80.0
1701,Electricité générale,20.0,80.0
1702,Machines électriques,20.0,80.0
1703,Techno. électrique,20.0,80.0
1704,MAXIMA,20.0,100.0
1705,Français,20.0,100.0
1706,Mathématiques,20.0,100.0
1707,MAXIMA,20.0,10.0
1708,Atelier électrique,20.0,10.0
1709,Labo. électrique,20.0,10.0
1714,MAXIMA,20.0,40.0
1715,Actualités,20.0,40.0
1716,Anglais,20.0,40.0
1717,Application électr.,20.0,40.0
1718,Automation,20.0,40.0
1719,Circuit logique (1),20.0,40.0
1720,Informatique,20.0,40.0
1721,Législation (1),20.0,40.0
1722,Organisation,20.0,40.0
1723,MAXIMA,20.0,80.0
1724,Electronique + labo,20.0,80.0
1725,Machine électrique,20.0,80.0
1726,Machines appliquée,20.0,80.0
1727,Schéma,20.0,80.0
1728,MAXIMA,20.0,100.0
1729,Dessin électrique,20.0,100.0
1730,Francais ,20.0,100.0
1731,Labo. électrique,20.0,100.0
1732,Mathématiques,20.0,100.0
1733,MAXIMA,20.0,10.0
1734,Atelier électrique,20.0,10.0
1735,Labo. électrique,20.0,10.0
1736,,20.0,10.0
1737,,20.0,10.0
1739,Arithmétique,20.0,10.0
1740,Géométrie,20.0,10.0
1741,Statistique,20.0,10.0
1742,Sous total,20.0,100.0
1743,,20.0,10.0
1744,Anatomie,20.0,10.0
1745,Botanique,20.0,10.0
1746,Zoologie,20.0,10.0
1747,Sous total,20.0,10.0
1748,,20.0,10.0
1749,Sciences Physiques,20.0,10.0
1750,Technologie,20.0,10.0
1751,Techno d'info & Com(TIC),20.0,10.0
1752,Sous total,20.0,10.0
1753,,20.0,10.0
1754,Anglais,20.0,10.0
1755,Français,20.0,10.0
1756,Sous total,20.0,10.0
1757,,20.0,10.0
1758,Religion,20.0,10.0
1759,Éducation à la vie (1),20.0,10.0
1760,Éducation civique et moral,20.0,10.0
1761,Géographie,20.0,10.0
1762,Histoire,20.0,10.0
1763,Sous total,20.0,10.0
1764,,20.0,10.0
1765,Dessin,20.0,10.0
1766,Musique,20.0,10.0
1767,Sous total,20.0,10.0
1768,,20.0,10.0
1769,Éducation Physique,20.0,10.0
1770,Sous total,20.0,10.0
